allele,Raw,Post-Phase 1,Post-Phase 2
HLAB35120101,29,29,12
HLAB35134,11,11,4
HLAB35149,3,3,2
HLAB35172,84,84,42
HLAB35220,42,42,12
HLAB3523,4,4,3
HLAB35309,258,258,116
HLAB35432,11,11,6
HLAB3577,22,22,11
HLAB37010101,7157,1000,592
HLAB38010101,7210,1000,90
HLAB38020101,2552,1000,39
HLAB3805,30,30,16
HLAB39010101,7883,1000,229
HLAB39020101,27,27,19
HLAB39050101,29,29,12
HLAB39060101,3614,1000,63
HLAB3908,5,5,4
HLAB39090101,80,80,17
HLAB391001,50,50,20
HLAB3911,4,4,3
HLAB39123,1,1,1
HLAB39136,27,27,15
HLAB39240101,977,977,142
HLAB39310101,12,12,8
HLAB400101,11734,1000,33
HLAB40020101,19678,1000,238
HLAB40030101,152,152,65
HLAB40040101,35,35,17
HLAB40050101,1474,1000,269
HLAB40060101,4740,1000,20
HLAB40104,2,2,2
HLAB40120,4,4,4
HLAB4013,53,53,33
HLAB4021,1,1,1
HLAB4036,10,10,4
HLAB4040,7,7,3
HLAB41010101,2304,1000,31
HLAB41020101,1189,1000,47
HLAB410301,116,116,11
HLAB4104,62,62,10
HLAB4105,45,45,15
HLAB4106,13,13,8
HLAB42010101,4601,1000,37
HLAB4202,124,124,46
HLAB44020101,15832,1000,50
HLAB44030101,11250,1000,392
HLAB4404,33,33,20
HLAB44050101,462,462,159
HLAB4406,12,12,5
HLAB4407,332,332,10
HLAB4408,92,92,33
HLAB4409,295,295,39
HLAB4410,24,24,15
HLAB4413,14,14,10
HLAB4422,3,3,3
HLAB44275,207,207,16
HLAB442801,143,143,19
HLAB45010101,5709,1000,104
HLAB4506,4,4,2
HLAB46010101,2689,1000,364
HLAB47010102,283,283,90
HLAB48010101,106,106,29
HLAB480201,12,12,6
HLAB48030101,5,5,3
HLAB4805,5,5,4
HLAB49010101,7700,1000,30
HLAB50010101,5619,1000,170
HLAB50020101,92,92,60
HLAB500402,40,40,23
HLAB5005,3,3,2
HLAB5101,11445,1000,121
HLAB51020101,27,27,18
HLAB51050101,184,184,53
HLAB51060101,48,48,27
HLAB51080101,658,658,21
HLAB510901,39,39,25
HLAB5114,1,1,1
HLAB5121,2,2,2
HLAB5129,7,7,4
HLAB52010101,1427,1000,330
HLAB53010101,3805,1000,24
HLAB5302,8,8,5
HLAB54010101,1653,1000,29
HLAB55010101,3048,1000,32
HLAB55020101,1494,1000,15
HLAB5504,35,35,19
HLAB56010101,2802,1000,38
HLAB56040101,17,17,8
HLAB560501,18,18,15
HLAB57010101,20422,1000,534
HLAB5702,433,433,159
HLAB57030102,7241,1000,454
HLAB570401,30,30,15
HLAB58010101,9481,1000,177
HLAB58020102,672,672,190
HLAB5806,12,12,8
HLAB59010102,18,18,9
HLAB670101,48,48,36
HLAB7301,799,799,55
HLAB78010102,84,84,50
HLAB780202,47,47,22
HLAB81010101,1450,1000,75
HLAB82010101,48,48,32
HLAB8301,40,40,28
HLAC01020101,3534,1000,97
HLAC0117,8,8,6
HLAC0130,3,3,2
HLAC020201,6520,1000,436
HLAC0210,119,119,58
HLAC030201,3052,1000,220
HLAC03030101,12107,1000,185
HLAC03040101,12309,1000,129
HLAC03050101,1073,1000,154
HLAC03060101,271,271,59
HLAC03070101,30,30,14
HLAC03130102,1,1,1
HLAC03179,1,1,1
HLAC0381,7,7,4
HLAC0401,10424,1000,219
HLAC04030101,896,896,144
HLAC040601,1,1,1
HLAC0409,3,3,2
HLAC0501,8476,1000,328
HLAC050901,12,12,8
HLAC0535,1,1,1
HLAC06020101,9776,1000,231
HLAC06060101,474,474,188
HLAC0608,262,262,21
HLAC0617,6,6,3
HLAC0701,10411,1000,207
HLAC0702,7405,1000,134
HLAC07040101,6304,1000,221
HLAC0705,1,1,1
HLAC0710,1,1,1
HLAC07130101,1,1,1
HLAC07170101,6,6,3
HLAC07185,3,3,2
HLAC0722,2122,1000,206
HLAC07276,3,3,3
HLAC0746,1,1,1
HLAC0795,6,6,3
HLAC08010101,2076,1000,98
HLAC08020101,8881,1000,461
HLAC08030101,41,41,15
HLAC08040101,60,60,14
HLAC0813,6,6,4
HLAC1202,8044,1000,376
HLAC1203,14962,1000,359
HLAC120401,250,250,163
HLAC1212,5,5,4
HLAC14020101,6069,1000,153
HLAC14030101,3063,1000,53
HLAC1502,5605,1000,278
HLAC15040101,60,60,28
HLAC1505,299,299,127
HLAC15090101,277,277,127
HLAC16010101,6681,1000,88
HLAC16020101,22,22,10
HLAC1604,302,302,94
HLAC17010102,2120,1000,140
HLAC18010101,2,2,2
HLAE0101,110,110,24
HLAE0103,5,5,4
HLAG01010101,300,300,117
HLAG01030101,260,260,97
HLAG01040101,296,296,24
MAMUA1001010101,866,866,357
MAMUA100201,789,789,402
MAMUA1007010101,215,215,16
MAMUA1008010101,1,1,1
MAMUA101101,404,404,175
MAMUA102201,213,213,18
MAMUA1026010101,52,52,28
MAMUA200102,29,29,15
MAMUA201020101,30,30,9
MAMUA700103,21,21,10
MAMUA701030101,22,22,11
MAMUB00101,83,83,21
MAMUB00301,309,309,13
MAMUB00401,2,2,2
MAMUB00801,1147,1000,19
MAMUB01001,56,56,28
MAMUB01701,436,436,53
MAMUB01704,364,364,27
MAMUB022010101,148,148,53
MAMUB029010101,6,6,5
MAMUB03901,241,241,75
MAMUB05201,547,547,91
MAMUB06502,4,4,2
MAMUB06601,73,73,27
MAMUB08301,219,219,114
MAMUB08701,71,71,23
MAMUB090010101,71,71,47
PATRA0101,109,109,53
PATRA0301,61,61,28
PATRA0401,75,75,33
PATRA0402,1,1,1
PATRA06010101,1,1,1
PATRA0602,1,1,1
PATRA0701,134,134,57
PATRA0901,284,284,116
PATRA11010101,1,1,1
PATRB0101,190,190,133
PATRB0301,1,1,1
PATRB03020101,4,4,3
PATRB0401,2,2,2
PATRB05010101,2,2,2
PATRB0901,3,3,2
PATRB1301,134,134,13
PATRB160101,4,4,3
PATRB1602,1,1,1
PATRB1701,3,3,3
PATRB23010201,1,1,1
PATRB23020101,1,1,1
PATRB2401,85,85,36
PATRC06010101,2,2,2
SLA10101,1,1,1
SLA10401,152,152,62
SLA10701,14,14,6
SLA10702,29,29,21
SLA11201,1,1,1
SLA11301,39,39,31
SLA11402,3,3,2
SLA11502,1,1,1
SLA20401,60,60,34
SLA20502,2,2,2
SLA21104,16,16,11
SLA21201,1,1,1
SLA30301,1,1,1
SLA30401,32,32,15
