allele,Raw,Post-Phase 1
HLAB410301,116,116
HLAB4104,62,62
HLAB4105,45,45
HLAB4106,13,13
HLAB42010101,4601,1000
HLAB4202,124,124
HLAB44020101,15832,1000
HLAB44030101,11250,1000
HLAB4404,33,33
HLAB44050101,462,462
HLAB4406,12,12
HLAB4407,332,332
HLAB4408,92,92
HLAB4409,295,295
HLAB4410,24,24
HLAB4413,14,14
HLAB4422,3,3
HLAB44275,207,207
HLAB442801,143,143
HLAB45010101,5709,1000
HLAB4506,4,4
HLAB46010101,2689,1000
HLAB47010102,283,283
HLAB48010101,106,106
HLAB480201,12,12
HLAB48030101,5,5
HLAB4805,5,5
HLAB49010101,7700,1000
HLAB50010101,5619,1000
HLAB50020101,92,92
HLAB500402,40,40
HLAB5005,3,3
HLAB5101,11445,1000
HLAB51020101,27,27
HLAB51050101,184,184
HLAB51060101,48,48
HLAB51080101,658,658
HLAB510901,39,39
HLAB5114,1,1
HLAB5121,2,2
HLAB5129,7,7
HLAB52010101,1427,1000
HLAB53010101,3805,1000
HLAB5302,8,8
HLAB54010101,1653,1000
HLAB55010101,3048,1000
HLAB55020101,1494,1000
HLAB5504,35,35
HLAB56010101,2802,1000
HLAB56040101,17,17
HLAB560501,18,18
HLAB57010101,20422,1000
HLAB5702,433,433
HLAB57030102,7241,1000
HLAB570401,30,30
HLAB58010101,9481,1000
HLAB58020102,672,672
HLAB5806,12,12
HLAB59010102,18,18
HLAB670101,48,48
HLAB7301,799,799
HLAB78010102,84,84
HLAB780202,47,47
HLAB81010101,1450,1000
HLAB82010101,48,48
HLAB8301,40,40
HLAC01020101,3534,1000
HLAC0117,8,8
HLAC0130,3,3
HLAC020201,6520,1000
HLAC0210,119,119
HLAC030201,3052,1000
HLAC03030101,12107,1000
HLAC03040101,12309,1000
HLAC03050101,1073,1000
HLAC03060101,271,271
HLAC03070101,30,30
HLAC03130102,1,1
HLAC03179,1,1
HLAC0381,7,7
HLAC0401,10424,1000
HLAC04030101,896,896
HLAC040601,1,1
HLAC0409,3,3
HLAC0501,8476,1000
HLAC050901,12,12
HLAC0535,1,1
HLAC06020101,9776,1000
HLAC06060101,474,474
HLAC0608,262,262
HLAC0617,6,6
HLAC0701,10411,1000
HLAC0702,7405,1000
HLAC07040101,6304,1000
HLAC0705,1,1
HLAC0710,1,1
HLAC07130101,1,1
HLAC07170101,6,6
HLAC07185,3,3
HLAC0722,2122,1000
HLAC07276,3,3
HLAC0746,1,1
HLAC0795,6,6
HLAC08010101,2076,1000
HLAC08020101,8881,1000
HLAC08030101,41,41
HLAC08040101,60,60
HLAC0813,6,6
HLAC1202,8044,1000
HLAC1203,14962,1000
HLAC120401,250,250
HLAC1212,5,5
HLAC14020101,6069,1000
HLAC14030101,3063,1000
HLAC1502,5605,1000
HLAC15040101,60,60
HLAC1505,299,299
HLAC15090101,277,277
HLAC16010101,6681,1000
HLAC16020101,22,22
HLAC1604,302,302
HLAC17010102,2120,1000
HLAC18010101,2,2
HLAE0101,110,110
HLAE0103,5,5
HLAG01010101,300,300
HLAG01030101,260,260
HLAG01040101,296,296
MAMUA1001010101,866,866
MAMUA100201,789,789
MAMUA1007010101,215,215
MAMUA1008010101,1,1
MAMUA101101,404,404
MAMUA102201,213,213
MAMUA1026010101,52,52
MAMUA200102,29,29
MAMUA201020101,30,30
MAMUA700103,21,21
MAMUA701030101,22,22
MAMUB00101,83,83
MAMUB00301,309,309
MAMUB00401,2,2
MAMUB00801,1147,1000
MAMUB01001,56,56
MAMUB01701,436,436
MAMUB01704,364,364
MAMUB022010101,148,148
MAMUB029010101,6,6
MAMUB03901,241,241
MAMUB05201,547,547
MAMUB06502,4,4
MAMUB06601,73,73
MAMUB08301,219,219
MAMUB08701,71,71
MAMUB090010101,71,71
PATRA0101,109,109
PATRA0301,61,61
PATRA0401,75,75
PATRA0402,1,1
PATRA06010101,1,1
PATRA0602,1,1
PATRA0701,134,134
PATRA0901,284,284
PATRA11010101,1,1
PATRB0101,190,190
PATRB0301,1,1
PATRB03020101,4,4
PATRB0401,2,2
PATRB05010101,2,2
PATRB0901,3,3
PATRB1301,134,134
PATRB160101,4,4
PATRB1602,1,1
PATRB1701,3,3
PATRB23010201,1,1
PATRB23020101,1,1
PATRB2401,85,85
PATRC06010101,2,2
SLA10101,1,1
SLA10401,152,152
SLA10701,14,14
SLA10702,29,29
SLA11201,1,1
SLA11301,39,39
SLA11402,3,3
SLA11502,1,1
SLA20401,60,60
SLA20502,2,2
SLA21104,16,16
SLA21201,1,1
SLA30301,1,1
SLA30401,32,32
